group,regimen,covariate,phenotype,MIC_mg_L,target,n,attained_n,PTA,PTA_lower_95,PTA_upper_95
QDS_Cohort,Intermittent short infusion (QDS),Cohort,Observed,1,100% fT>MIC,10000,9836,0.9836,0.980918546363793,0.985910050412089
QDS_Cohort,Intermittent short infusion (QDS),Cohort,Observed,2,100% fT>MIC,10000,9657,0.9657,0.961950268244109,0.969092075673442
QDS_Cohort,Intermittent short infusion (QDS),Cohort,Observed,4,100% fT>MIC,10000,9272,0.9272,0.921942149664117,0.932129762127977
QDS_Cohort,Intermittent short infusion (QDS),Cohort,Observed,8,100% fT>MIC,10000,8537,0.8537,0.846637533641496,0.860490825911088
QDS_Cohort,Intermittent short infusion (QDS),Cohort,Observed,16,100% fT>MIC,10000,7354,0.7354,0.726665001503445,0.74395421206364
QDS_Cohort,Intermittent short infusion (QDS),Cohort,Observed,32,100% fT>MIC,10000,5387,0.5387,0.528916582410025,0.548453696116084
QDS_Cohort,Intermittent short infusion (QDS),Cohort,Observed,64,100% fT>MIC,10000,2939,0.2939,0.285051954561708,0.302906329566685
QDS_Cohort,Intermittent short infusion (QDS),Cohort,Observed,128,100% fT>MIC,10000,936,0.0936,0.0880462051974196,0.0994659086782663
QDS_Cohort,Intermittent short infusion (QDS),Cohort,Observed,256,100% fT>MIC,10000,112,0.0112,0.00931698749023614,0.0134584093169373
fac4_max_CI,Continuous infusion,Factor 4,High,0.25,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
fac4_max_CI,Continuous infusion,Factor 4,High,0.5,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
fac4_max_CI,Continuous infusion,Factor 4,High,1,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
fac4_max_CI,Continuous infusion,Factor 4,High,2,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
fac4_max_CI,Continuous infusion,Factor 4,High,4,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
fac4_max_CI,Continuous infusion,Factor 4,High,8,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
fac4_max_CI,Continuous infusion,Factor 4,High,16,100% fT>4xMIC,10000,9997,0.9997,0.999118264227764,0.999897967800582
fac4_max_CI,Continuous infusion,Factor 4,High,32,100% fT>4xMIC,10000,9328,0.9328,0.92772481009701,0.937542800913332
fac4_max_CI,Continuous infusion,Factor 4,High,64,100% fT>4xMIC,10000,2587,0.2587,0.250210723813376,0.267374593800312
fac4_max_CI,Continuous infusion,Factor 4,High,128,100% fT>4xMIC,10000,8,8e-04,0.00040543371989688,0.00157795025338663
fac4_max_CI,Continuous infusion,Factor 4,High,256,100% fT>4xMIC,10000,0,0,0,0.000383998370676596
fac4_max_CI,Continuous infusion,Factor 4,High,0.25,100% fT>MIC,10000,10000,1,0.999616001629323,1
fac4_max_CI,Continuous infusion,Factor 4,High,0.5,100% fT>MIC,10000,10000,1,0.999616001629323,1
fac4_max_CI,Continuous infusion,Factor 4,High,1,100% fT>MIC,10000,10000,1,0.999616001629323,1
fac4_max_CI,Continuous infusion,Factor 4,High,2,100% fT>MIC,10000,10000,1,0.999616001629323,1
fac4_max_CI,Continuous infusion,Factor 4,High,4,100% fT>MIC,10000,10000,1,0.999616001629323,1
fac4_max_CI,Continuous infusion,Factor 4,High,8,100% fT>MIC,10000,10000,1,0.999616001629323,1
fac4_max_CI,Continuous infusion,Factor 4,High,16,100% fT>MIC,10000,10000,1,0.999616001629323,1
fac4_max_CI,Continuous infusion,Factor 4,High,32,100% fT>MIC,10000,10000,1,0.999616001629323,1
fac4_max_CI,Continuous infusion,Factor 4,High,64,100% fT>MIC,10000,9997,0.9997,0.999118264227764,0.999897967800582
fac4_max_CI,Continuous infusion,Factor 4,High,128,100% fT>MIC,10000,9328,0.9328,0.92772481009701,0.937542800913332
fac4_max_CI,Continuous infusion,Factor 4,High,256,100% fT>MIC,10000,2587,0.2587,0.250210723813376,0.267374593800312
fac4_min_CI,Continuous infusion,Factor 4,Low,0.25,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
fac4_min_CI,Continuous infusion,Factor 4,Low,0.5,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
fac4_min_CI,Continuous infusion,Factor 4,Low,1,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
fac4_min_CI,Continuous infusion,Factor 4,Low,2,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
fac4_min_CI,Continuous infusion,Factor 4,Low,4,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
fac4_min_CI,Continuous infusion,Factor 4,Low,8,100% fT>4xMIC,10000,9791,0.9791,0.976106813339297,0.981725239421921
fac4_min_CI,Continuous infusion,Factor 4,Low,16,100% fT>4xMIC,10000,5255,0.5255,0.515705015472617,0.535275400610479
fac4_min_CI,Continuous infusion,Factor 4,Low,32,100% fT>4xMIC,10000,276,0.0276,0.024566008678009,0.0309967929826063
fac4_min_CI,Continuous infusion,Factor 4,Low,64,100% fT>4xMIC,10000,0,0,0,0.000383998370676596
fac4_min_CI,Continuous infusion,Factor 4,Low,128,100% fT>4xMIC,10000,0,0,0,0.000383998370676596
